Country,Jury,Fiat Punto,Volkswagen Polo,Opel/Vauxhall Omega,Audi A8,Renault Laguna
Austria,Horst Kahlert,10,6,5,1,3
Austria,Alfred Prokesch,7,6,4,4,4
Austria,Herbert Völker,9,8,3,0,5
Belgium,Jean-Jacques Renaux,2,2,10,11,0
Belgium,Etienne Visart de Bocarmé,5,4,8,5,3
Czech Republic,Milan Jozif,5,4,6,7,3
Denmark,Peter Aaboe,10,5,3,0,7
Finland,Mauri Salo,8,5,6,2,4
France,Jacques Farenc,9,6,3,0,7
France,Jean-Pierre Gosselin,6,8,2,3,6
France,Francis Monsenerque,8,10,2,0,5
France,Benoît Pérot,9,3,3,4,6
France,Francis Reste,4,6,11,1,3
France,Edouard Seidler,9,3,7,0,6
Germany,Georg Kacher,8,5,0,10,2
Germany,Peter Klinkenberg,7,9,4,3,2
Germany,Jürgen Lewandowski,4,9,4,6,2
Germany,Engelbert Männer,6,7,6,2,4
Germany,Gerhard Thomssen,4,4,6,10,1
Germany,Christian Wüst,4,3,2,1,15
Greece,Costas Cavathas,10,4,0,4,7
Hungary,Péter Surányi,3,1,9,8,4
Ireland,Andrew Hamilton,8,6,7,1,3
Italy,Giancarlo Baghetti,7,2,8,6,2
Italy,Alberto Bellucci,7,3,6,4,5
Italy,Carlo Cavicchi,7,3,6,4,5
Italy,Michele Fenu,8,1,3,10,3
Italy,Claudio Nobis,7,1,9,2,6
Italy,Daniele Pellegrini,6,3,8,3,5
Netherlands,Willem Leniger,5,5,4,7,4
Netherlands,Ton Roks,6,5,3,10,1
Netherlands,Fred van der Vlugt,8,7,3,5,2
Norway,Hans Gravdal,5,9,7,0,4
Poland,Wojciech Sierpowski,8,4,5,2,6
Portugal,Adriano Cerqueira,9,5,5,0,6
Portugal,José Vieira,9,4,5,0,7
Russia,Mikhail I. Podorozhansky,3,3,9,2,8
Slovenia,Tomaz Porekar,7,3,6,5,4
Spain,Arturo de Andrés,7,6,2,5,5
Spain,Eduardo Azpilicueta,9,4,5,3,4
Spain,Pedro Figueruelo,5,6,7,1,6
Spain,Alberto Mallo,10,3,4,5,3
Spain,Sergio Piccione,7,2,1,8,7
Spain,Maria Ángeles Pujol,11,2,2,6,4
Sweden,Christer Glenning,0,10,4,3,8
Sweden,Iva Maasing,12,7,2,1,3
Sweden,Marianne Sterner,10,11,3,0,1
Sweden,Björn Sundfeldt,2,15,2,4,2
Switzerland,Urs Bärtschi,9,5,6,3,2
Switzerland,Alexander Beck,8,4,7,0,6
Switzerland,Curt Schild,7,8,5,0,5
United Kingdom,Ray Hutton,4,4,4,7,6
United Kingdom,John Langley,4,10,4,6,1
United Kingdom,Frank Page,2,7,8,2,6
United Kingdom,Michael Scarlett,2,1,3,15,4
United Kingdom,L. J. K. Setright,6,1,2,14,2
United Kingdom,David Williams,2,7,5,10,1
