Country,Jury,Fiat Bravo/Brava,Peugeot 406,Audi A4,Opel/Vauxhall Vectra,Mercedes-Benz E-Class
Austria,Horst Kahlert,9,5,4,6,1
Austria,Gerhard Nöhrer,8,5,7,2,3
Austria,Herbert Völker,7,6,9,0,3
Belgium,Jean-Jacques Renaux,7,5,8,5,0
Belgium,Etienne Visart de Bocarmé,5,7,6,3,4
Czech Republic,Milan Jozif,6,7,5,4,3
Denmark,Peter Aaboe,8,10,2,4,1
Finland,Mauri Salo,6,7,1,6,5
France,Jacques Farenc,6,8,4,5,2
France,Jean-Pierre Gosselin,6,9,5,4,1
France,Francis Monsenergue,8,11,0,4,2
France,Benoît Pérot,6,12,1,5,1
France,Francis Reste,5,8,4,7,1
France,Edouard Seidler,8,12,0,4,1
Germany,Georg Kacher,4,5,9,1,6
Germany,Peter Klinkenberg,7,5,8,2,3
Germany,Jürgen Lewandowski,4,3,8,4,6
Germany,Engelbert Männer,7,6,4,3,5
Germany,Gerhard Thomssen,1,2,10,6,6
Germany,Christian Wüst,4,3,2,1,15
Greece,Costas Cavathas,8,4,6,4,3
Hungary,Péter Surányi,8,6,4,6,1
Ireland,Andrew Hamilton,8,7,1,6,3
Italy,Giancarlo Baghetti,8,7,2,6,2
Italy,Alberto Bellucci,4,7,3,6,5
Italy,Carlo Cavicchi,6,7,4,5,3
Italy,Michele Fenu,5,5,3,4,8
Italy,Claudio Nobis,8,6,4,5,2
Italy,Daniele Pellegrini,6,7,4,5,3
Netherlands,Jack Kruger,8,6,3,3,5
Netherlands,Willem Leniger,8,9,0,3,5
Netherlands,Ton Roks,10,6,3,1,5
Norway,Hans Gravdal,8,7,4,6,0
Poland,Wojciech Sierpowski,7,9,2,3,4
Portugal,Adriano Cerqueira,8,6,5,3,3
Portugal,José Vieira,8,5,2,6,4
Russia,Mikhail I. Podorozhansky,6,8,3,3,5
Slovenia,Tomaz Porekar,7,5,5,6,2
Spain,Arturo de Andrés,7,5,4,6,3
Spain,Eduardo Azpilicueta,5,5,8,4,3
Spain,Pedro Figueruelo,9,8,2,6,0
Spain,Alberto Mallo,10,4,6,2,3
Spain,Sergio Piccione,8,6,3,5,3
Spain,Maria Ángeles Pujol,9,7,5,2,2
Sweden,Christer Sterner,7,8,4,1,5
Sweden,Marianne Sterner,9,8,1,5,2
Sweden,Björn Sundfeldt,2,3,15,2,3
Switzerland,Urs Bärtschi,3,6,3,5,8
Switzerland,Alexander Beck,3,7,5,6,4
Switzerland,Michel Busset,5,10,7,1,2
United Kingdom,Steve Cropley,5,9,3,2,6
United Kingdom,Ray Hutton,9,7,1,4,4
United Kingdom,John Langley,9,6,3,3,4
United Kingdom,Michael Scarlett,7,5,4,4,5
United Kingdom,L. J. K. Setright,8,1,10,1,5
United Kingdom,David Williams,10,5,7,1,2
