Country,Jury,Renault Megane Scenic,Ford Ka,Volkswagen Passat,Skoda Octavia,Audi A3
Austria,Horst Kahlert,7,4,5,6,3
Austria,Gerhard Nöhrer,6,5,2,9,3
Austria,Herbert Völker,4,3,3,9,6
Belgium,Jean-Jacques Renaux,10,9,1,3,2
Belgium,Etienne Visart de Bocarmé,9,5,7,3,1
Czech Republic,Milan Jozif,7,4,4,8,2
Denmark,Peter Aaboe,9,5,4,6,1
Finland,Mauri Salo,8,5,1,10,1
France,Jacques Farenc,10,3,3,8,1
France,Jean-Pierre Gosselin,8,5,5,5,2
France,Guy Jourdan,10,3,2,6,4
France,Francis Monsenergue,6,2,4,10,3
France,Benoît Pérot,10,1,5,5,4
France,Edouard Seidler,9,6,2,4,4
Germany,Georg Kacher,2,6,5,8,4
Germany,Peter Klinkenberg,4,6,8,5,2
Germany,Jürgen Lewandowski,2,4,7,8,4
Germany,Roland Löwisch,5,4,9,3,4
Germany,Engelbert Männer,0,6,10,5,4
Greece,Costas Cavathas,8,7,1,5,4
Hungary,Péter Surányi,10,3,5,6,1
Ireland,Andrew Hamilton,10,9,1,4,1
Italy,Alberto Bellucci,6,4,5,3,7
Italy,Carlo Cavicchi,8,6,3,1,7
Italy,Michele Fenu,8,4,6,1,6
Italy,Alessandro Ferrari,10,4,6,1,4
Italy,Claudio Nobis,8,5,7,1,4
Italy,Daniele Pellegrini,8,5,5,1,6
Netherlands,Jack Kruger,9,8,5,0,3
Netherlands,Willem Leniger,9,8,5,0,3
Netherlands,Ton Roks,8,10,5,1,1
Norway,Hans Gravdal,5,6,5,7,2
Poland,Wojciech Sierpowski,8,4,4,6,3
Portugal,Adriano Cerqueira,9,6,5,2,3
Portugal,José Vieira,8,6,4,2,5
Russia,Mikhail I. Podorozhansky,6,4,4,7,4
Slovenia,Tomaz Porekar,7,6,4,5,3
Spain,Arturo de Andrés,7,3,5,1,9
Spain,Eduardo Azpilicueta,6,3,5,3,8
Spain,Pedro Figueruelo,3,2,7,5,8
Spain,Alberto Mallo,9,3,4,2,7
Spain,Sergio Piccione,8,5,2,4,6
Spain,Maria Ángeles Pujol,2,4,7,4,8
Sweden,Christer Glenning,10,8,2,3,2
Sweden,Marianne Sterner,10,6,1,8,0
Sweden,Björn Sundfeldt,10,8,6,1,0
Switzerland,Urs Bärtschi,9,5,6,3,2
Switzerland,Alexander Beck,9,8,4,0,4
Switzerland,Michel Busset,8,6,3,5,3
United Kingdom,Steve Cropley,3,8,3,6,3
United Kingdom,Gavin Green,10,8,5,0,2
United Kingdom,Ray Hutton,9,7,3,2,4
United Kingdom,John Langley,6,9,4,3,3
United Kingdom,Michael Scarlett,10,5,6,1,3
United Kingdom,David Williams,7,8,4,3,3
