Country,Jury,Alfa Romeo 156,Volkswagen Golf,Audi A6,Mercedes-Benz A-Class,Citroen Xsara
Austria,Horst Kahlert,10,7,5,0,3
Austria,Gerhard Nöhrer,9,8,5,1,2
Austria,Herbert Völker,8,7,5,0,5
Belgium,Jean-Jacques Renaux,8,2,2,6,7
Belgium,Etienne Visart de Bocarmé,8,5,4,6,2
Czech Republic,Milan Jozif,9,0,7,3,6
Denmark,Peter Aaboe,10,6,2,0,7
Finland,Mauri Salo,10,4,8,1,2
France,Jacques Farenc,9,2,1,5,8
France,Jean-Pierre Gosselin,7,4,4,4,6
France,Guy Jourdan,8,4,6,1,6
France,Jean-Claude Letrou,9,2,4,7,3
France,Francis Monsenergue,10,2,6,0,7
France,Benoît Pérot,8,3,4,5,5
Germany,Stephan Grühsem,7,8,3,6,1
Germany,Georg Kacher,8,5,4,7,1
Germany,Peter Klinkenberg,5,7,5,6,2
Germany,Jürgen Lewandowski,3,6,3,10,3
Germany,Roland Löwisch,5,8,4,5,3
Germany,Engelbert Männer,7,9,6,1,2
Greece,Costas Cavathas,9,0,6,8,2
Hungary,Péter Surányi,7,3,4,8,3
Ireland,Andrew Hamilton,8,3,6,5,3
Italy,Alberto Bellucci,9,7,3,0,6
Italy,Carlo Cavicchi,9,8,4,0,4
Italy,Michele Fenu,9,4,5,2,5
Italy,Claudio Nobis,9,5,5,0,6
Italy,Daniele Pellegrini,7,8,6,0,4
Italy,Alberto Sabbatini,9,6,5,0,5
Netherlands,Jack Kruger,9,5,5,4,2
Netherlands,Willem Leniger,10,3,4,6,2
Netherlands,Ton Roks,10,4,2,8,1
Norway,Rune Korsvoll,6,4,8,5,2
Poland,Wojciech Sierpowski,7,4,3,8,3
Portugal,Adriano Cerqueira,8,1,6,5,5
Portugal,José Vieira,9,1,4,6,5
Russia,Mikhail I. Podorozhansky,8,9,7,1,0
Slovenia,Tomaz Porekar,7,4,5,6,3
Spain,Arturo de Andrés,9,1,2,7,6
Spain,Eduardo Azpilicueta,5,4,5,7,4
Spain,Pedro Figueruelo,10,5,1,3,6
Spain,Alberto Mallo,9,3,3,7,3
Spain,Sergio Piccione,8,3,6,2,6
Spain,Maria Ángeles Pujol,10,2,2,7,4
Sweden,Christer Glenning,5,8,10,0,2
Sweden,Marianne Sterner,6,7,8,0,4
Sweden,Björn Sundfeldt,10,8,6,1,0
Switzerland,Urs Bärtschi,8,7,6,0,4
Switzerland,Alexander Beck,8,7,4,0,6
Switzerland,Michel Busset,9,5,7,0,4
United Kingdom,Steve Cropley,10,4,2,7,2
United Kingdom,Andrew English,6,4,3,10,2
United Kingdom,Gavin Green,7,10,5,3,0
United Kingdom,Ray Hutton,7,3,8,5,2
United Kingdom,Michael Scarlett,9,3,8,1,4
United Kingdom,David Williams,10,4,3,5,3
