Country,Jury,Ford Focus,Opel/Vauxhall Astra,Peugeot 206,Audi TT,Volvo S80
Austria,Horst Kahlert,7,6,5,4,3
Austria,Gerhard Nöhrer,7,5,8,4,1
Austria,Herbert Völker,7,6,8,4,0
Belgium,Jos Gryseels,8,7,7,0,3
Belgium,Etienne Visart de Bocarmé,9,5,3,4,4
Czech Republic,Milan Jozif,8,5,6,1,5
Denmark,Peter Aaboe,9,4,8,1,3
Finland,Mauri Salo,10,8,2,1,4
France,Jacques Farenc,6,3,5,8,3
France,Philippe Gégout,9,2,7,3,4
France,Jean-Pierre Gosselin,8,6,7,2,4
France,Jean-Claude Letrou,9,3,7,5,1
France,Francis Monsenergue,10,3,5,6,1
France,Benoît Pérot,5,4,9,5,2
Germany,Stephan Grühsem,7,5,3,9,1
Germany,Georg Kacher,10,4,3,6,2
Germany,Harald Kaiser,8,5,0,10,2
Germany,Peter Klinkenberg,10,6,2,3,4
Germany,Jürgen Lewandowski,9,5,6,5,0
Germany,Engelbert Männer,10,7,2,1,5
Greece,Costas Cavathas,9,5,4,7,0
Hungary,Péter Surányi,7,6,4,5,3
Ireland,Andrew Hamilton,10,5,7,0,3
Italy,Alberto Bellucci,7,5,6,4,3
Italy,Carlo Cavicchi,8,6,6,3,2
Italy,Michele Fenu,6,4,8,4,3
Italy,Claudio,9,3,8,4,1
Italy,Daniele Pellegrini,7,6,6,4,2
Italy,Alberto Sabbatini,8,5,6,5,1
Netherlands,Jack Kruger,7,3,3,6,6
Netherlands,Willem Leniger,7,5,5,4,4
Netherlands,Ton Roks,7,2,4,8,4
Norway,Rune Korsvoll,8,6,3,5,3
Poland,Wojciech Sierpowski,8,5,7,2,3
Portugal,Joaquim Oliveira,8,7,5,2,3
Portugal,José Vieira,7,6,5,2,5
Russia,Mikhail I. Podorozhansky,8,5,6,3,3
Slovenia,Tomaz Porekar,7,4,5,6,3
Spain,Arturo de Andrés,6,4,2,5,8
Spain,Eduardo Azpilicueta,8,6,4,4,3
Spain,Pedro Figueruelo,6,7,1,6,5
Spain,Alberto Mallo,6,5,3,2,9
Spain,Sergio Piccione,8,6,2,3,6
Spain,Maria Ángeles Pujol,10,3,1,4,7
Sweden,Dag Hogsten,10,7,0,2,6
Sweden,Marianne Sterner,10,2,2,3,8
Switzerland,Urs Bärtschi,8,4,4,6,3
Switzerland,Alexander Beck,7,4,3,8,3
Switzerland,Mcihel Busset,8,4,5,6,2
United Kingdom,Steve Cropley,10,4,4,6,1
United Kingdom,Andrew English,8,5,3,6,3
United Kingdom,Gavin Green,10,5,1,6,3
United Kingdom,Ray Hutton,10,7,6,1,1
United Kingdom,Michael Scarlett,6,6,4,7,2
United Kingdom,David Williams,9,6,3,4,3
