Country,Jury,Toyota Yaris,Fiat Multipla,Opel/Vauxhall Zafira,Skoda Fabia,Rover 75
Austria,Horst Kahlert,5,7,4,6,3
Austria,Gerhard Nöhrer,7,3,5,8,2
Austria,Herbert Völker,5,5,3,8,4
Belgium,Jos Gryseels,7,8,6,2,2
Belgium,Etienne Visart de Bocarmé,6,9,5,3,2
Czech Republic,Milan Jozif,4,7,3,8,3
Denmark,Peter Aaboe,8,10,2,2,3
Finland,Mauri Salo,8,2,6,4,5
France,Jacques Farenc,8,6,1,7,3
France,Philippe Gégout,5,10,3,2,5
France,Jean-Pierre Gosselin,6,5,5,4,5
France,Jean-Claude Letrou,7,8,5,3,2
France,Francis Monsenergue,7,8,5,2,3
France,Benoît Pérot,6,6,9,1,3
Germany,Thomas Imhof,6,2,8,5,4
Germany,Georg Kacher,3,0,10,9,3
Germany,Harald Kaiser,3,0,10,8,4
Germany,Jürgen Lewandowski,0,9,5,7,4
Germany,Engelbert Männer,2,5,7,9,2
Germany,Wolfgang Peters,4,7,5,9,0
Greece,Costas Cavathas,7,6,3,4,5
Hungary,Péter Surányi,7,9,5,4,0
Ireland,Andrew Hamilton,9,3,3,2,8
Italy,Alberto Bellucci,4,7,4,4,6
Italy,Carlo Cavicchi,7,4,4,4,6
Italy,Diego Eramo,8,3,3,5,6
Italy,Michele Fenu,5,8,3,4,5
Italy,Caludio Nobis,4,8,3,1,9
Italy,Daniele Pellegrini,7,4,4,5,5
Netherlands,Jack Kruger,10,8,4,0,3
Netherlands,Willem Leniger,10,7,4,2,2
Netherlands,Ton Roks,7,10,4,2,2
Norway,Rune Korsvoll,7,2,9,3,4
Poland,Wojciech Sierpowski,8,4,2,4,7
Portugal,Jaoquim Oliveira,7,3,4,5,6
Portugal,José Vieira,7,4,2,4,8
Russia,Mikhail I. Podorozhansky,8,3,3,2,9
Slovenia,Tomaz Porekar,5,6,1,5,8
Spain,Arturo de Andrés,5,8,2,6,4
Spain,Eduardo Azpilicueta,5,4,7,5,4
Spain,Pedro Figueruelo,5,8,2,7,3
Spain,Alberto Mallo,4,9,7,2,3
Spain,Sergio Piccione,5,7,8,3,2
Spain,Maria Ángeles Pujol,5,8,4,5,3
Sweden,Dag Hogsten,6,5,5,8,1
Sweden,Hakan Matson,10,8,3,3,1
Sweden,Marianne Sterner,8,6,5,4,2
Switzerland,Urs Bärtschi,9,7,4,2,3
Switzerland,Alexander Beck,7,6,5,3,4
Switzerland,Michel Busset,7,6,5,4,3
United Kingdom,Steve Cropley,7,5,5,4,4
United Kingdom,Andrew English,7,2,5,8,3
United Kingdom,Paul Horrell,6,9,5,2,3
United Kingdom,Ray Hutton,7,3,4,6,5
United Kingdom,Michael Scarlett,1,4,10,2,8
United Kingdom,David Williams,6,4,7,4,4
