Country,Jury,Alfa Romeo 147,Ford Mondeo,Toyota Prius,Audi A2,Mercedes-Benz C-Class,Opel/Vauxhall Corsa,Volvo S60,Chrysler PT Cruiser,Peugeot 607,Citroen Xsara Picasso
Austria,Horst Kahlert,7,3,0,5,2,8,0,0,0,0
Austria,Gerhard Nöhrer,6,4,0,2,5,7,0,1,0,0
Austria,Herbert Völker,8,4,0,6,4,3,0,0,0,0
Belgium,Jos Gryseels,7,6,3,3,6,0,0,0,0,0
Belgium,Etienne Visart de Bocarmé,3,2,9,6,0,1,0,4,0,0
Czech Republic,Tomas Hyan,7,9,2,2,0,5,0,0,0,0
Denmark,Peter Aaboe,5,5,8,2,0,1,3,1,0,0
Finland,Martii Merilinna,1,9,7,5,0,1,0,2,0,0
France,Jacques Farenc,5,2,9,5,0,4,0,0,0,0
France,Philippe Gégout,0,3,8,4,4,0,0,6,0,0
France,Jean-Pierre Gosselin,5,0,6,2,0,3,0,5,4,0
France,Jean-Claude Letrou,6,0,7,0,0,0,3,8,1,0
France,Francis Monsenergue,5,3,8,0,0,0,2,3,4,0
France,Benoît Pérot,4,0,3,2,0,0,0,10,6,0
Germany,Thomas Imhof,2,5,8,2,6,1,1,0,0,0
Germany,Georg Kacher,4,6,1,1,7,0,5,1,0,0
Germany,Harald Kaiser,3,6,0,3,8,0,5,0,0,0
Germany,Jürgen Lewandowski,2,3,0,9,6,3,1,1,0,0
Germany,Engelbert Männer,6,4,3,0,7,3,2,0,0,0
Germany,Wolfgang Peters,5,7,0,0,9,0,0,0,4,0
Greece,Costas Cavathas,4,5,7,6,0,0,3,0,0,0
Hungary,Péter Surányi,4,6,10,2,0,0,0,3,0,0
Ireland,Andrew Hamilton,6,8,1,0,0,6,4,0,0,0
Italy,Alberto Bellucci,5,3,1,3,3,3,1,1,3,2
Italy,Carlo Cavicchi,5,3,0,5,6,3,0,0,3,0
Italy,Diego Eramo,6,5,0,0,4,5,5,0,0,0
Italy,Michele Fenu,7,2,0,4,3,5,0,2,2,0
Italy,Claudio Nobis,8,0,6,4,7,0,0,0,0,0
Italy,Daniele Pellegrini,4,0,6,4,7,4,0,0,0,0
Netherlands,Jack Kruger,2,2,8,6,0,1,0,5,1,0
Netherlands,Willem Leniger,5,3,7,3,3,0,4,0,0,0
Netherlands,Ton Roks,5,0,8,10,0,0,0,2,0,0
Norway,Rune Korsvoll,0,3,7,8,4,0,2,1,0,0
Poland,Wojciech Sierpowski,6,2,5,7,0,0,3,2,0,0
Portugal,Jaoquim Oliveira,5,6,1,0,0,8,3,0,1,1
Portugal,José Vieira,7,1,0,0,0,6,4,0,4,3
Russia,Mikhail I. Podorozhansky,6,4,2,1,4,0,4,4,0,0
Slovenia,Tomaz Porekar,5,0,3,3,4,6,2,0,0,2
Spain,Arturo de Andrés,1,5,2,7,0,0,6,4,0,0
Spain,Eduardo Azpilicueta,5,7,2,3,2,3,3,0,0,0
Spain,Pedro Figueruelo,3,6,1,0,0,8,2,2,3,0
Spain,Alberto Mallo,2,4,6,3,2,3,3,0,2,0
Sweden,Dag Hogsten,2,4,10,6,0,0,3,0,0,0
Sweden,Hakan Matson,4,5,10,5,0,0,1,0,0,0
Sweden,Marianne Sterner,0,6,10,2,0,1,6,0,0,0
Switzerland,Urs Bärtschi,8,6,0,5,3,3,0,0,0,0
Switzerland,Alexander Beck,3,1,4,7,6,1,0,3,0,0
Switzerland,Michel Busset,5,2,6,3,3,0,4,2,0,0
United Kingdom,Steve Cropley,5,7,4,0,6,3,0,0,0,0
United Kingdom,Andrew English,2,8,3,4,6,2,0,0,0,0
United Kingdom,Paul Horrell,4,6,1,7,4,0,2,1,0,0
United Kingdom,Ray Hutton,0,8,2,4,7,4,0,0,0,0
United Kingdom,Michael Scarlett,3,4,0,0,10,5,0,0,3,0

United Kingdom,David Williams,0,9,5,0,3,6,2,0,0,0
