Country,Jury,Peugeot 307,Renault Laguna,Fiat Stilo,Mini One,Honda Civic,Citroen C5,Jaguar X-Type
Austria,Horst Kahlert,7,3,8,5,0,2,0
Austria,Gerhard Nöhrer,7,3,9,5,1,0,0
Austria,Herbert Völker,7,5,8,3,2,0,0
Belgium,Jos Gryseels,8,5,6,1,0,3,2
Belgium,Etienne Visart de Bocarmé,8,6,4,5,2,0,0
Czech Republic,Tomas Hyan,5,4,8,2,6,0,0
Denmark,Peter Aaboe,5,8,6,3,3,0,0
Finland,Martti,2,5,5,6,5,1,1
France,Christophe Bonnaud,4,9,0,4,5,0,3
France,Jacques Farenc,6,7,4,0,5,3,0
France,Philippe Gégout,4,10,3,6,0,0,2
France,Jean-Pierre Gosselin,6,2,4,5,4,2,2
France,Jean-Claude Letrou,5,7,2,8,3,0,0
France,Francis Monsenergue,7,3,1,8,5,0,1
Germany,Thomas Imhof,0,6,3,9,4,0,3
Germany,Georg Kacher,7,6,5,4,1,0,2
Germany,Jürgen Lewandowski,8,2,6,0,3,2,4
Germany,Engelbert Männer,2,6,10,5,0,2,0
Germany,Wolfgang Peters,8,0,7,2,5,0,3
Germany,Frank Warrings,1,6,4,0,9,3,2
Greece,Costas Cavathas,4,5,6,4,3,2,1
Hungary,Péter Surányi,4,6,4,0,3,8,0
Ireland,Andrew Hamilton,8,3,7,1,6,0,0
Italy,Daniele,6,3,3,2,4,3,4
Italy,Alberto Bellucci,6,3,7,1,3,3,2
Italy,Carlo Cavicchi,6,2,5,3,5,2,2
Italy,Diego Eramo,6,3,4,1,0,8,3
Italy,Michele Fenu,5,0,7,8,2,2,1
Italy,Caludio Nobis,8,3,5,0,6,3,0
Netherlands,Jeroen Jongeneel,6,2,6,9,0,0,2
Netherlands,Willem Leniger,3,3,4,8,3,2,2
Netherlands,Ton Roks,3,2,9,4,0,0,7
Norway,Rune Korsvoll,7,9,2,0,3,4,0
Poland,Wojciech Sierpowski,6,4,5,3,2,4,1
Portugal,Joaquim Oliveira,6,4,4,2,5,2,2
Portugal,Jose Vieira,8,5,7,0,0,3,2
Russia,Vaidm Ovsiankin,5,4,3,4,2,3,4
Russia,Mikhail I. Podorozhansky,7,2,2,6,1,3,4
Slovenia,Tomaz Porekar,2,4,4,6,4,3,2
Spain,Eudardo Azpilicueta,8,3,2,2,3,3,4
Spain,Arturo de Andrés,2,1,3,8,2,2,7
Spain,Pedro Figueruelo,4,7,6,2,5,1,0
Spain,Alberto Mallo,6,8,2,1,3,4,1
Spain,Sergio Piccione,5,5,5,2,1,6,1
Spain,Maria Ángeles Pujol,4,8,4,0,5,2,2
Sweden,Dag Hogsten,10,2,0,5,0,7,1
Sweden,Lasse Holmström,4,10,2,5,0,4,0
Sweden,Marianne Sterner,2,7,5,10,0,1,0
Switzerland,Michel Busset,7,5,3,5,1,2,2
Switzerland,Urs Bärtschi,6,9,3,5,0,0,2
United Kingdom,Steve Cropley,3,4,2,5,7,2,2
United Kingdom,Andrew English,0,1,0,8,9,5,2
United Kingdom,Paul Horrell,3,2,2,9,4,2,3
United Kingdom,Ray Hutton,4,0,4,5,7,0,5
United Kingdom,Michael Scarlett,3,4,3,0,6,5,4
United Kingdom,David Williams,5,1,2,3,7,4,3
