Country,Jury,Renault Megane,Mazda 6,Citroen C3,Honda Jazz,Ford Fiesta,Opel/Vauxhall Vectra,Mercedes-Benz E-Class
Austria,Horst Kahlert,6,9,4,2,1,3,0
Austria,Gerhard Nöhrer,6,7,5,0,0,4,3
Austria,Herbert Völker,3,8,4,0,0,4,6
Belgium,Jos Gryseels,2,7,8,0,5,3,0
Belgium,Etienne Visart de Bocarmé,9,6,3,3,0,4,0
Czech Republic,Tomas Hyan,1,7,2,5,5,2,3
Denmark,Peter Aaboe,3,10,5,6,1,0,1
Finland,Martti,5,7,2,4,2,2,3
France,Christophe Bonnaud,9,4,3,6,3,0,0
France,Jacques Farenc,3,4,5,6,2,2,3
France,Philippe Gégout,7,4,5,1,5,0,3
France,Jean-Pierre Gosselin,4,4,5,3,3,3,3
France,Jean-Claude Letrou,7,8,2,6,2,0,0
France,Francis Monsenergue,8,4,4,5,1,1,2
Germany,Thomas Imhof,4,5,0,0,6,2,8
Germany,Georg Kacher,7,2,4,3,2,2,5
Germany,Jürgen Lewandowski,5,8,0,0,4,6,2
Germany,Engelbert Männer,6,9,4,0,1,2,3
Germany,Wolfgang Peters,3,10,2,0,0,6,4
Germany,Frank Warrings,4,3,1,6,7,2,3
Greece,Costas Cavathas,9,6,4,2,0,2,2
Hungary,Miklos Gadjan,4,6,4,0,3,8,0
Ireland,Andrew Hamilton,1,8,4,5,3,4,0
Italy,Daniele,6,2,5,3,5,4,0
Italy,Alberto Bellucci,6,4,4,3,5,2,1
Italy,Carlo Cavicchi,5,3,6,3,5,3,0
Italy,Diego Eramo,9,6,4,0,3,3,0
Italy,Michele Fenu,6,4,5,4,2,4,0
Italy,Claudio Nobis,8,3,5,4,5,0,0
Netherlands,Jeroen Jongeneel,9,2,6,0,6,2,0
Netherlands,Willem Leniger,7,3,5,2,3,2,3
Netherlands,Ton Roks,8,1,1,1,4,4,6
Norway,Rune Korsvoll,1,0,3,6,2,8,5
Poland,Wojciech Sierpowski,6,5,5,2,3,1,3
Poland,Maciek Ziemek,3,7,6,1,1,5,2
Portugal,Jaoquim Oliveira,6,5,3,1,3,3,4
Portugal,Jose Vieira,7,3,3,5,2,3,2
Russia,Vadim Ovsiankin,5,4,3,4,2,3,4
Russia,Mikhail I. Podorozhansky,5,7,4,2,4,0,3
Slovenia,Tomaz Porekar,0,6,5,2,5,3,4
Spain,Eduardo Azpilicueta,7,5,2,2,3,2,4
Spain,Arturo de Andrés,2,9,2,4,2,6,0
Spain,Pedro Figueruelo,2,8,4,4,3,4,0
Spain,Alberto Mallo,3,4,9,5,1,2,1
Spain,Sergio Piccione,5,7,5,3,4,1,0
Spain,Maria Ángeles Pujol,4,7,3,4,3,3,1
Sweden,Dag Hogsten,8,10,1,0,0,2,4
Sweden,Lasse Holmström,10,4,6,2,0,1,2
Sweden,Marianne Sterner,10,4,3,6,0,2,0
Switzerland,Michel Busset,7,6,3,3,4,1,1
Switzerland,Urs Bärtschi,8,7,4,2,0,4,0
Switzerland,Peter Ruch,5,5,0,7,0,6,2
Turkey,Ufuk Sandik,7,5,6,3,1,2,1
United Kingdom,Steve Cropley,8,2,4,2,5,1,3
United Kingdom,Andrew English,7,2,5,2,3,2,4
United Kingdom,Paul Horrell,7,1,3,5,4,1,4
United Kingdom,Ray Hutton,2,2,3,3,7,3,5
United Kingdom,Michael Scarlett,8,3,0,1,0,4,9
United Kingdom,David Williams,6,2,5,2,4,3,3
