Country,Jury,Fiat Panda,Mazda 3,Volkswagen Golf,Toyota Avensis,Opel/Vauxhall Vectra,BMW 5-Series,Nissan Micra
Austria,Horst Kahlert,3,9,7,1,5,0,0
Austria,Gerhard Nöhrer,4,9,8,1,3,0,0
Austria,Herbert Völker,2,8,7,3,0,3,2
Belgium,Jos Gryseels,6,8,1,4,0,0,6
Belgium,Etienne Visart de Bocarmé,7,4,1,3,6,1,3
Czech Republic,Tomas Hyan,6,3,3,3,1,4,5
Denmark,Peter Aaboe,8,7,2,4,4,0,0
Finland,Martti,4,3,2,7,4,5,0
France,Christophe Bonnaud,3,3,1,4,9,5,0
France,Philippe Gégout,7,2,0,2,9,5,0
France,Jean-Pierre Gosselin,8,3,1,3,6,1,3
France,Jean-Claude Letrou,6,5,0,3,7,4,0
France,Francis Monsenergue,6,4,2,2,5,3,3
France,Alain-Gabriel Verdevoye,8,1,5,3,7,0,1
Germany,Thomas Imhof,2,4,5,1,7,3,3
Germany,Georg Kacher,1,6,8,1,3,5,1
Germany,Jürgen Lewandowski,4,7,8,0,5,0,1
Germany,Wolfgang Peters,3,9,6,0,2,5,0
Germany,Jörg Reichele,0,7,3,8,1,5,1
Germany,Frank Warrings,2,4,8,4,1,5,1
Greece,Costas Cavathas,8,6,3,4,0,0,4
Hungary,Miklos Gadjan,4,3,2,6,1,8,1
Hungary,Péter Surányi,3,5,2,3,6,3,3
Ireland,Andrew Hamilton,5,6,2,8,3,0,1
Italy,Daniele,4,4,4,4,2,2,5
Italy,Alberto Bellucci,9,3,3,3,2,0,5
Italy,Carlo Cavicchi,4,4,5,4,4,0,4
Italy,Diego Eramo,3,4,10,0,5,3,0
Italy,Michele Fenu,10,2,2,4,2,4,1
Italy,Claudio Nobis,8,5,4,0,5,3,0
Netherlands,Jeroen Jongeneel,3,4,5,6,0,7,0
Netherlands,Willem Leniger,10,3,0,4,3,5,0
Netherlands,Ton Roks,7,8,3,3,1,3,0
Norway,Rune Korsvoll,1,1,4,6,8,2,3
Poland,Wojciech Sierpowski,7,4,3,6,3,1,1
Poland,Maciek Ziemek,5,5,4,6,3,1,1
Portugal,Joaquim Oliveira,2,5,7,5,1,0,5
Portugal,Jose Vieira,6,6,0,7,2,0,4
Russia,Mikhail I. Podorozhansky,2,4,2,4,4,6,3
Slovenia,Tomaz Porekar,5,5,6,5,4,0,0
Spain,Eduardo Azpilicueta,4,3,7,4,2,2,3
Spain,Atruto de Andrés,7,4,4,6,2,1,1
Spain,Pedro Figueruelo,6,2,1,7,3,4,2
Spain,Alberto Mallo,2,2,7,5,3,4,2
Spain,Sergio Piccione,7,3,2,5,3,2,3
Spain,Maria Ángeles Pujol,4,5,2,8,3,1,2
Sweden,Dag Hogsten,0,2,3,4,10,5,1
Sweden,Lasse Holmström,0,1,0,9,7,5,3
Sweden,Marianne Sterner,1,3,2,6,10,1,2
Switzerland,Michel Busset,4,6,3,4,3,3,2
Switzerland,Urs Bärtschi,5,3,8,3,6,0,0
Turkey,Ufuk Sandik,2,5,2,6,8,1,1
United Kingdom,Steve Cropley,7,2,6,3,3,1,3
United Kingdom,Andrew English,9,0,10,2,0,2,2
United Kingdom,Paul Horrell,9,2,7,0,1,2,4
United Kingdom,Ray Hutton,6,4,7,3,0,2,3
United Kingdom,John Simister,7,0,8,0,3,4,3
United Kingdom,David Williams,5,2,7,4,2,2,3
