Country,Jury,Toyota Prius,Citroen C4,Ford Focus,Opel/Vauxhall Astra,Renault Modus,Peugeot 407,BMW 1-Series
Austria,Horst Kahlert,2,7,3,5,0,2,6
Austria,Gerhard Nöhrer,6,4,5,3,0,5,2
Austria,Herbert Völker,7,5,3,3,0,3,4
Belgium,Jos Gryseels,7,5,6,1,1,5,0
Belgium,Etienne Visart de Bocarmé,9,4,2,2,4,1,3
Czech Republic,Tomas Hyan,5,2,7,1,1,3,6
Denmark,Peter Aaboe,5,10,2,0,6,2,0
Finland,Martti,10,6,2,2,3,1,1
France,Chirstophe Bonnaud,9,3,1,1,4,7,0
France,Philippe Gégout,8,5,3,2,3,3,1
France,Jean-Pierre Gosselin,10,4,3,3,2,3,0
France,Jean-Claude Letrou,9,6,5,0,2,3,0
France,Francis Monsenergue,9,5,4,4,3,0,0
France,Alain-Gabriel Verdevoye,8,4,5,3,2,3,0
Germany,Thomas Imhof,8,3,1,4,6,1,2
Germany,Frank Janssen,10,3,4,4,1,1,2
Germany,Georg Kacher,5,3,2,4,6,1,4
Germany,Jürgen Lewandowski,10,0,5,1,4,2,3
Germany,Wolfgang Peters,5,2,8,7,3,0,0
Germany,Jörg Reichele,7,3,2,6,4,1,2
Greece,Efstratios Chatzipanagiotou,3,6,8,4,0,4,0
Hungary,Miklos Gadjan,10,1,4,2,7,1,0
Hungary,Péter Surányi,10,5,3,0,6,1,0
Ireland,Andrew Hamilton,8,3,6,7,0,1,0
Italy,Daniele,7,2,2,4,5,3,2
Italy,Carlo Cavicchi,6,3,3,5,3,4,1
Italy,Diego Eramo,4,0,7,8,3,3,0
Italy,Michele Fenu,5,2,3,6,2,5,2
Italy,Alessandro Ferrari,4,3,4,6,3,4,1
Italy,Claudio Nobis,8,0,4,5,6,0,2
Netherlands,Jeroen Jongeneel,7,6,2,4,2,0,4
Netherlands,Ton Roks,8,5,3,2,2,2,3
Netherlands,Jos Vroomans,10,5,2,0,5,0,3
Norway,Rune Korsvoll,10,6,1,2,5,0,1
Poland,Wojciech Sierpowski,5,7,5,2,2,2,2
Poland,Maciek Ziemek,7,8,7,1,0,1,1
Portugal,Joaquim Oliveira,2,5,5,6,1,2,4
Portugal,Jose Vieira,7,5,6,2,1,4,0
Russia,Mikhail I. Podorozhansky,5,6,4,3,1,4,2
Slovenia,Tomaz Porekar,6,3,5,4,3,4,0
Spain,Eduardo Azpilicueta,5,5,7,5,1,2,0
Spain,Arturo de Andrés,10,3,1,2,3,6,0
Spain,Pedro Figueruelo,7,5,4,4,3,2,0
Spain,Alberto Mallo,9,4,5,3,1,2,1
Spain,Sergio Piccione,7,4,3,4,2,4,1
Spain,Maria Ángeles Pujol,7,4,5,3,2,4,0
Sweden,Dag Hogsten,10,5,2,2,4,1,1
Sweden,Lasse Holmström,10,7,1,1,5,1,0
Sweden,Marianne Sterner,10,5,2,3,4,1,0
Switzerland,Michel Busset,1,7,1,5,4,3,4
Switzerland,Urs Bärtschi,7,8,3,5,4,1,0
Turkey,Ufuk Sandik,6,5,1,0,2,8,3
United Kingdom,Steve Cropley,5,9,7,2,2,0,0
United Kingdom,Andrew English,7,4,8,3,0,0,3
United Kingdom,Paul Horrell,7,5,5,1,3,0,4
United Kingdom,Ray Hutton,8,5,6,4,0,2,0
United Kingdom,John Simister,6,10,4,1,0,4,0
United Kingdom,David Williams,3,7,6,3,1,3,2
