Country,Jury,Renault Clio,Volkswagen Passat,Alfa Romeo 159,BMW 3-Series,Mazda 5,Citroen C1,Toyota Yaris
Austria,Horst Kahlert,7,6,3,0,5,4,0
Austria,Gerhard Nöhrer,3,8,5,0,2,7,0
Austria,Herrbert Völker,4,7,5,2,2,3,2
Belgium,Jos Gryseels,7,0,1,0,7,9,1
Belgium,Etienne Visart de Bocarmé,4,1,1,2,6,8,3
Czech Republic,Tomas Hyan,1,3,6,7,3,1,4
Denmark,Peter Aaboe,5,0,3,0,10,3,4
Finland,Martti,2,7,4,2,5,1,4
France,Christophe Bonnaud,5,7,5,3,2,0,3
France,Philippe Gégout,5,3,3,0,5,6,3
France,Jean-Pierre Gosselin,6,7,4,0,5,3,0
France,Jean-Claude Letrou,5,6,5,7,0,0,2
France,Francis Monsenergue,7,5,5,2,1,3,2
France,Alain-Gabriel Verdevoye,8,2,2,5,4,2,2
Germany,Thomas Imhof,3,5,6,2,8,0,1
Germany,Frank Janssen,5,7,3,2,2,1,5
Germany,Georg Kacher,3,4,6,3,3,3,3
Germany,Jürgen Lewandowski,6,9,2,3,1,4,0
Germany,Wolfgang Peters,5,2,7,0,8,0,3
Germany,Jörg Reichle,4,5,8,0,6,2,0
Greece,Efstratios Chatzipanagiotou,7,4,3,4,1,1,5
Hungary,Miklos Gajdan,5,3,1,8,6,0,2
Hungary,Péter Surányi,5,6,0,0,8,3,3
Ireland,Andrew Hamilton,2,5,4,0,7,1,6
Italy,Daniele,7,6,2,4,4,2,0
Italy,Carlo Cavicchi,6,7,0,4,4,0,4
Italy,Diego Eramo,4,7,4,6,4,0,0
Italy,Alessandro Ferrari,6,8,3,4,2,2,0
Italy,Massimo Nascimbene,6,8,3,4,2,2,0
Italy,Caludio Nobis,3,7,4,8,3,0,0
Netherlands,Jeroen Jongeneel,4,7,6,5,0,3,0
Netherlands,Ton Roks,1,1,7,10,1,4,1
Netherlands,Jos Vroomans,5,4,4,3,3,3,3
Norway,Rune Korsvoll,2,7,1,3,6,4,2
Poland,Wojciech Sierpowski,2,3,4,2,7,4,3
Poland,Maciek Ziemek,4,2,6,4,4,1,4
Portugal,Joaquim Oliveira,6,3,3,5,2,2,4
Portugal,José Vieira,0,0,3,8,6,6,2
Russia,Mikhail I. Podorozhansky,2,2,4,5,3,7,2
Slovenia,Tomaz Porekar,4,4,4,1,6,1,5
Spain,Eduardo Azpilicueta,7,3,5,2,0,4,4
Spain,Manuel Domenech,5,4,6,3,2,2,4
Spain,Pedro Figuerelo,6,4,4,1,2,5,3
Spain,Alberto Mallo,3,3,8,0,2,5,4
Spain,Sergio Piccione,6,1,5,1,3,7,2
Spain,Maria Ángeles Pujol,6,2,4,1,5,3,4
Sweden,Dag Hogsten,5,10,1,2,3,4,0
Sweden,Lasse Holmström,4,4,8,5,1,1,2
Sweden,Marianne Sterner,4,6,0,2,3,10,0
Switzerland,Michel Busset,4,1,5,6,2,4,3
Switzerland,Urs Bärtschi,4,5,0,7,3,6,0
Turkey,Ufuk Sandik,3,8,6,1,0,4,3
United Kingdom,Steve Cropley,3,1,2,4,1,6,8
United Kingdom,Andrew English,2,1,2,4,1,6,8
United Kingdom,Ray Hutton,4,6,4,8,1,2,0
United Kingdom,John Simister,4,3,1,6,1,2,8
United Kingdom,David Williams,6,1,1,8,2,3,4
