Country,Jury,Ford S-Max,Opel/Vauxhall Corsa,Citroen C4 Picasso,Skoda Roomster,Honda Civic,Peugeot 207,Volvo C30,Fiat Grande Punto
Austria,Gerhard Nöhrer,1,6,1,5,2,4,2,4
Austria,Herbert Völker,6,8,0,1,0,4,2,4
Belgium,Jos Gryseels,8,6,4,0,0,3,4,0
Belgium,Etienne Visart de Bocarmé,2,3,6,3,1,5,1,4
Czech Republic,Tomas Hyan,1,3,0,6,1,3,3,8
Denmark,Peter Aaboe,4,0,10,5,5,0,0,1
Finland,Martti,2,3,4,7,5,2,1,1
France,Christophe Bonnaud,6,0,8,5,0,3,3,0
France,Philippe Gégout,5,0,8,4,2,0,6,0
France,Jean-Pierre Gosselin,5,1,8,5,2,1,2,1
France,Jean-Claude Letrou,6,0,7,4,3,0,5,0
France,Francis Monsenergue,4,1,8,4,0,2,6,0
France,Alain-Gabriel Verdevoye,2,1,9,4,2,4,1,2
Germany,Thomas Imhof,6,1,4,9,0,0,2,4
Germany,Frank Janssen,5,1,0,6,1,1,9,2
Germany,Georg Kacher,3,4,6,3,3,3,3,0
Germany,Jürgen Lewandowski,7,8,1,3,0,4,0,2
Germany,Wolfgang Peters,7,9,0,2,0,3,0,4
Germany,Jörg Reichle,3,5,0,10,0,3,2,2
Greece,Efstratios Chatzipanagiotou,2,6,2,0,0,7,3,5
Hungary,Miklos Gajdan,6,8,4,0,2,2,0,3
Hungary,Péter Surányi,4,4,9,5,0,0,0,3
Ireland,Michael McAleer,3,7,4,5,4,1,0,1
Italy,Daniele,3,3,2,2,6,4,2,3
Italy,Carlo Cavicchi,2,5,2,0,6,5,0,5
Italy,Diego Eramo,5,4,6,1,0,5,0,4
Italy,Alessandro Ferrari,2,3,0,2,6,4,4,4
Italy,Massimo Nascimbene,5,4,1,0,7,3,2,3
Italy,Claudio Nobis,6,7,0,0,4,5,3,0
Netherlands,Jeroen Jongeneel,7,0,4,4,0,0,6,4
Netherlands,Ton Roks,4,0,6,6,0,0,8,1
Netherlands,Jos Vroomans,4,2,7,4,0,0,6,2
Norway,Rune Korsvoll,1,4,6,9,3,0,2,0
Poland,Wojciech Sierpowski,1,7,1,4,2,2,4,4
Poland,Maciek Ziemek,6,4,5,2,1,3,1,3
Portugal,Joaquim Oliveira,7,4,1,0,3,6,0,4
Portugal,José Vieira,4,6,4,0,0,7,0,4
Russia,Vadim Ovsiankin,7,5,2,1,2,3,2,3
Russia,Mikhail I. Podorozhansky,3,5,3,1,3,4,2,4
Slovenia,Tomaz Porekar,5,6,1,1,4,4,0,4
Spain,Eduardo Azpilicueta,4,3,6,3,2,3,2,2
Spain,Manuel Domenech,2,3,5,2,3,4,3,3
Spain,Pedro Figueruelo,4,2,7,0,5,2,0,5
Spain,Alberto Mallo,2,4,5,1,2,7,1,3
Spain,Sergio Piccione,2,4,7,1,1,3,3,4
Spain,Maria Ángeles Pujol,2,5,4,1,3,7,2,1
Sweden,Lasse Holmström,1,6,2,4,8,1,2,1
Sweden,Hakan Matson,0,3,10,6,4,0,2,0
Sweden,Marianne Sterner,1,5,3,8,6,0,2,0
Switzerland,Michel Busset,5,2,6,4,3,2,1,2
Switzerland,Urs Bärtschi,6,7,0,5,0,0,2,4
Turkey,Ufuk Sandik,2,8,0,4,3,1,6,1
United Kingdom,Steve Cropley,4,8,4,3,2,1,1,2
United Kingdom,Andrew English,4,3,0,1,7,0,10,0
United Kingdom,Paul Horrell,4,3,4,4,8,0,2,0
United Kingdom,Ray Hutton,7,8,2,0,5,0,0,3
United Kingdom,John Simister,7,1,4,5,3,1,4,0

United Kingdom,David Williams,8,4,3,3,3,2,1,1
