Country,Jury,Fiat 500,Mazda 2,Ford Mondeo,Kia Cee'd,Nissan Qashqai,Mercedes Benz C-Class,Peugeot 308
Austria,Gerhard Nöhrer,8,6,4,4,1,1,1
Austria,Herbert Völker,7,8,4,2,1,3,0
Belgium,Stéphane Lemeret,7,8,4,2,1,0,3
Belgium,Jos Gryseels,8,9,1,1,6,0,0
Czech Republic,Tomas Hyan,7,5,5,2,2,4,0
Denmark,Peter Aaboe,7,10,0,4,2,0,2
Finland,Martti,5,7,3,5,1,2,2
France,Jacques Chevalier,10,6,3,2,4,0,0
France,Christophe Bonnaud,8,4,3,1,5,1,3
France,Jean-Jacques Cornaert,8,10,0,1,5,1,0
France,Philippe Gégout,9,6,2,0,4,3,1
France,Francis Monsenergue,9,6,2,0,5,0,3
France,Alain-Gabriel Verdevoye,7,0,3,3,5,4,3
Germany,Thomas Imhof,10,6,1,3,2,3,0
Germany,Frank Janssen,2,4,9,0,3,6,1
Germany,Georg Kacher,10,7,1,1,1,4,1
Germany,Jürgen Lewandowski,2,9,4,3,0,6,1
Germany,Wolfgang Peters,2,10,0,3,4,6,0
Germany,Jörg Reichle,10,7,1,2,0,5,0
Greece,Efstratios Chatzipanagiotou,8,6,4,3,1,2,1
Hungary,Péter Surányi,2,3,2,8,6,1,3
Hungary,Miklos Gajdan,5,6,2,8,2,1,1
Ireland,Michael McAleer,6,6,8,3,0,2,0
Italy,Daniele,6,5,4,3,4,1,2
Italy,Diego Eramo,8,4,0,7,3,0,3
Italy,Alessandro Ferrari,8,4,1,4,5,1,2
Italy,Massimo Nascimbene,8,5,2,2,6,0,2
Italy,Carlo Cavicchi,5,4,3,4,4,2,3
Italy,Giorgio Ursicino,7,4,4,3,3,1,3
Netherlands,Jeroen Jongeneel,5,6,3,0,4,7,0
Netherlands,Ton Roks,8,3,2,4,2,5,1
Netherlands,Jos Vroomans,7,6,3,1,5,2,1
Norway,Rune Korsvoll,4,7,4,3,4,1,2
Poland,Wojciech Sierpowski,7,5,5,4,2,1,1
Poland,Maciek Ziemek,4,3,10,3,3,1,1
Portugal,José Vieira,0,7,6,6,4,0,2
Portugal,Joaquim Oliveira,4,2,0,7,3,6,3
Russia,Vadim Ovsiankin,8,2,2,1,3,4,5
Russia,Mikhail I. Podorozhansky,6,5,5,1,2,2,4
Slovenia,Tomaz Porekar,6,5,4,3,3,2,2
Spain,Manuel Domenech,7,4,3,3,5,1,2
Spain,Pedro Figueruelo,7,4,5,3,2,3,1
Spain,Alberto Mallo,8,3,2,3,2,2,5
Spain,Eduardo Azpilicueta,4,8,4,2,2,2,3
Spain,Maria Ángeles Pujol,4,4,7,5,2,1,2
Spain,Sergio Piccione,6,7,3,3,4,1,1
Sweden,Lasse Holmström,2,10,5,7,0,1,0
Sweden,Hakan Matson,10,7,2,3,0,3,0
Sweden,Marianne Sterner,10,4,0,6,3,2,0
Switzerland,Urs Bärtschi,7,8,4,3,3,0,0
Switzerland,Peter Ruch,7,8,5,0,0,3,2
Turkey,Ufuk Sandik,9,7,3,2,0,0,4
United Kingdom,Andrew English,10,1,8,0,0,2,4
United Kingdom,Ray Hutton,5,7,5,2,0,4,2
United Kingdom,Paul Horrell,8,5,5,1,1,5,0
United Kingdom,Steve Cropley,9,4,6,0,0,2,4
United Kingdom,John Simister,9,5,4,4,1,2,0
