Country,Jury,Opel/Vauxhall Insignia,Ford Fiesta,Volkswagen Golf,Citroen C5,Alfa Romeo MiTo,Skoda Superb,Renault Megane
Austria,Horst Bauer,8,5,4,2,3,2,1
Austria,Gerhard Nöhrer,7,3,4,1,2,5,3
Belgium,Stéphane Lemeret,6,7,4,3,3,1,1
Belgium,Jos Gryseels,6,4,0,8,4,0,3
Czech Republic,Tomas Hyan,5,6,1,0,9,4,0
Denmark,Peter Aaboe,10,1,2,7,2,3,0
Finland,Martti,8,5,0,4,2,6,0
France,Jacques Chevalier,8,6,5,3,0,0,3
France,Christophe Bonnaud,8,6,2,5,0,0,4
France,Jean-Jacques Cornaert,6,5,4,4,2,1,3
France,Philippe Gégout,8,6,2,4,1,1,3
France,Francis Monsenergue,6,7,4,3,0,2,3
France,Alain-Gabriel Verdevoye,2,2,5,3,3,6,4
Germany,Thomas Imhof,3,4,8,5,3,0,2
Germany,Frank Janssen,4,3,8,6,1,1,2
Germany,Georg Kacher,5,0,5,6,5,0,4
Germany,Jürgen Lewandowski,6,5,8,1,3,2,0
Germany,Wolfgang Peters,7,8,0,2,3,0,5
Germany,Jörg Reichle,4,2,8,7,1,0,3
Greece,Efstratios Chatzipanagiotou,4,7,5,2,3,3,1
Hungary,Péter Surányi,3,3,6,8,2,2,1
Hungary,Miklos Gajdan,9,7,2,0,0,4,3
Ireland,Michael McAleer,6,8,2,3,0,5,1
Italy,Daniele,4,5,4,3,3,3,3
Italy,Diego Eramo,4,7,8,1,3,0,2
Italy,Alessandro Ferrari,2,8,7,1,3,1,3
Italy,Massimo Nascimbene,3,7,6,2,3,2,2
Italy,Carlo Cavicchi,4,7,6,1,3,1,3
Italy,Giorgio Ursicino,3,7,5,2,4,1,3
Netherlands,Jeroen Jongeneel,7,6,4,5,0,3,0
Netherlands,Ton Roks,6,5,2,7,1,2,2
Netherlands,Jos Vroomans,7,4,2,5,3,2,2
Norway,Rune Korsvoll,6,9,1,3,1,3,2
Poland,Wojciech Sierpowski,9,4,1,4,3,3,1
Poland,Maciek Ziemek,4,4,4,5,2,4,2
Portugal,José Vieira,7,2,3,2,1,5,5
Portugal,Jaoquim Oliveira,6,3,7,5,1,1,2
Romania,Dan Vardie,7,8,1,0,1,3,5
Russia,Vadim Ovsiankin,3,4,2,3,4,6,3
Russia,Mikhail I. Podorozhansky,3,5,3,4,2,6,2
Slovenia,Tomaz Porekar,3,5,4,3,4,3,3
Spain,Manuel Domenech,7,3,1,5,5,2,2
Spain,Pedro Figueruelo,7,2,1,5,5,2,3
Spain,Alberto Mallo,8,4,2,3,2,1,5
Spain,Eduardo Azpilicueta,8,5,2,3,2,2,3
Spain,Maria Ángeles Pujol,6,4,4,4,3,1,3
Spain,Sergio Piccione,8,3,3,6,2,1,2
Sweden,Lasse Holmström,2,4,0,6,10,3,0
Sweden,Hakan Matson,10,5,0,2,7,1,0
Sweden,Marianne Sterner,2,10,0,1,5,7,0
Switzerland,Urs Bärtschi,8,6,6,0,0,2,3
Switzerland,Peter Ruch,5,5,5,6,0,4,0
Turkey,Ufuk Sandik,3,7,8,2,1,0,4
United Kingdom,Andrew English,3,6,10,2,0,4,0
United Kingdom,Ray Hutton,4,8,6,1,0,4,2
United Kingdom,Paul Horrell,4,7,5,1,3,3,2
United Kingdom,Phil McNamara,4,7,6,1,3,4,0
United Kingdom,Steve Cropley,4,10,3,0,3,5,0
United Kingdom,John Simister,1,9,0,10,3,0,2
