Country,Jury,Kia EV6,Renault Megane E-Tech Electric,Hyundai Ioniq 5,Peugeot 308,Skoda Enyaq,Ford Mustang Mach-E,Cupra Born
Austria,Horst Bauer,8,7,5,2,1,1,1
Austria,Susanne Hofbauer,6,3,7,3,2,2,2
Austria,Dieter Hubmann,7,3,5,1,5,3,1
Belgium,Joost Bolle,1,10,1,5,2,1,5
Belgium,Stéphane Lemeret,1,9,4,4,2,1,4
Czech Republic,Jiri Duchon,6,1,4,3,4,2,5
Denmark,Søren W. Rasmussen,2,5,8,3,2,1,4
Finland,Velimatti Honkanen,3,4,3,3,6,2,4
France,Florence Lagarde,7,10,3,4,1,0,0
France,Didier Laurent,9,5,6,4,0,1,0
France,Yves Maroselli,4,5,2,7,3,2,2
France,Stèphane Meunier,3,6,2,7,3,1,3
France,Jean-Michel Normand,2,10,3,2,1,6,1
France,Sylvain Reisser,4,6,2,7,3,2,1
Germany,Holger Appel,2,7,4,2,2,2,6
Germany,Hanno Boblenz,3,5,3,6,3,3,2
Germany,Ulla Ellmer,6,2,7,4,3,1,2
Germany,Timo Friedmann,4,0,3,3,10,0,5
Germany,Frank Janssen,3,3,6,7,4,1,1
Germany,Michael Specht,4,5,3,3,4,2,4
Greece,Helen Xenakis,5,2,7,4,1,3,3
Hungary,Zsolt Csikós,6,5,5,3,2,3,1
Hungary,Miklos Gajdan,5,5,6,3,3,1,2
Ireland,Michael McAleer,6,5,8,1,2,2,1
Italy,Silvia Baruffaldi,7,4,3,3,3,3,2
Italy,Andrea Brambilla,6,4,3,4,1,4,3
Italy,Guido Costantini,3,3,3,5,4,3,4
Italy,Gian-Luca Pellegrini,3,4,5,4,3,2,4
Italy,Alberto Sabbatini,4,2,2,4,2,7,4
Italy,Giorgio Ursicino,5,6,4,1,2,5,2
Luxembourg,Alain Rousseau,4,6,4,5,3,1,2
Netherlands,Jaco Bijlsma,8,1,9,0,4,3,0
Netherlands,Frank Buma,7,5,8,2,1,1,1
Netherlands,Peter Hilhorst,7,4,9,0,4,1,0
Norway,Fred Magne Skillebaek,5,4,3,0,7,4,2
Poland,Roman Popkiewicz,4,5,3,3,4,3,3
Poland,Maciek Ziemek,6,2,1,5,4,3,4
Portugal,Francisco Mota,4,5,2,4,4,4,2
Portugal,Joaquim Oliveira,3,3,2,5,4,6,2
Slovenia,Sebastjan Plevnjak,2,3,2,4,1,8,5
Spain,Félix Cerezo,6,4,4,1,4,4,2
Spain,Rafael Guitart,5,3,2,4,1,7,3
Spain,Pedro Martin,4,2,3,8,2,3,3
Spain,Juan Carlos Payo,6,3,3,4,3,4,2
Spain,Xavier Pérez,4,3,3,3,3,5,4
Spain,Pere Prat,4,4,2,4,2,5,4
Sweden,Jan-Erik Berggren,3,5,10,1,2,0,4
Sweden,Carl-Johan Lejland,6,1,7,2,5,3,1
Sweden,Tommy Wahlström,5,3,4,2,10,1,0
Switzerland,Ramon Egger,5,3,8,3,5,1,0
Switzerland,Andreas Faust,9,3,7,1,3,1,1
Switzerland,Peter Ruch,6,4,8,3,1,2,1
Turkey,Ufuk Sandik,1,5,9,1,1,1,7
United Kingdom,Andrew English,8,4,3,2,2,1,5
United Kingdom,Andrew Frankel,5,6,3,2,3,4,2
United Kingdom,Paul Horrell,4,8,3,2,4,3,1
United Kingdom,Phil McNamara,5,6,4,4,3,1,2
United Kingdom,Vicky Parrott,4,7,3,1,6,2,2
United Kingdom,Matthew Prior,4,7,5,3,5,1,0
