Country,Jury,Jeep Avenger,Volkswagen ID.Buzz,Nissan Ariya,Kia Niro,Renault Austral,Peugeot 408,Subaru Solterra/Toyota bZ4X
Austria,Horst Bauer,8,1,5,4,4,2,1
Austria,Susanne Hofbauer,,,,,,,
Austria,Dieter Hubmann,8,6,3,1,4,1,2
Belgium,Joost Bolle,3,1,2,4,9,6,0
Belgium,Stéphane Lemeret,3,2,2,5,6,4,3
Czech Republic,Jiri Duchon,5,4,4,6,1,2,3
Denmark,Søren W. Rasmussen,6,9,5,2,1,2,0
Finland,Velimatti Honkanen,6,7,3,4,1,3,1
France,Christophe Bourroux,3,7,2,2,4,6,1
France,Florence Lagarde,6,2,0,3,10,4,0
France,Didier Laurent,4,1,3,5,7,4,1
France,Yves Maroselli,5,3,2,3,7,4,1
France,Stèphane Meunier,7,2,4,2,5,4,1
France,Sylvain Reisser,6,2,2,2,8,4,1
Germany,Holger Appel,10,6,1,2,4,0,2
Germany,Hanno Boblenz,6,7,5,3,1,2,1
Germany,Stefan Cerchez,6,4,5,2,3,2,3
Germany,Ulla Ellmer,7,8,2,4,2,1,1
Germany,Frank Mertens,5,7,3,3,3,2,2
Germany,Jessica Thön,4,5,3,3,4,3,3
Greece,Helen Xenakis,6,2,5,4,1,4,3
Hungary,Zsolt Csikós,5,2,4,4,3,3,4
Hungary,Miklos Gajdan,7,4,4,3,1,1,5
Ireland,Michael McAleer,4,7,6,1,1,1,5
Italy,Silvia Baruffaldi,7,1,3,4,5,3,2
Italy,Andrea Brambilla,7,0,4,2,4,4,4
Italy,Guido Costantini,5,2,3,6,4,3,2
Italy,Gian-Luca Pellegrini,8,7,3,1,3,1,2
Italy,Alberto Sabbatini,7,2,5,3,4,2,2
Italy,Giorgio Ursicino,6,2,4,5,3,2,3
Luxembourg,Alain Rousseau,3,6,3,4,4,4,1
Netherlands,Jaco Bijlsma,3,5,3,8,2,1,3
Netherlands,Frank Buma,9,5,1,7,1,1,1
Netherlands,Peter Hilhorst,,,,,,,
Norway,Fred Magne Skillebaek,4,8,6,3,1,1,2
Poland,Roman Popkiewicz,5,6,3,4,2,4,1
Poland,Maciek Ziemek,5,3,3,4,4,4,2
Portugal,Francisco Mota,5,1,5,6,2,2,4
Portugal,Joaquim Oliveira,6,2,7,3,0,3,4
Slovenia,Sebastjan Plevnjak,10,5,5,1,1,1,2
Spain,Félix Cerezo,4,3,4,2,5,4,3
Spain,Rafael Guitart,4,2,5,3,3,4,4
Spain,Pedro Martin,3,1,4,5,3,6,3
Spain,Juan Carlos Payo,4,2,4,3,4,5,3
Spain,Xavier Pérez,4,1,4,4,4,5,3
Spain,Pere Prat,4,2,2,5,4,4,4
Sweden,Jan-Erik Berggren,7,10,5,2,0,0,1
Sweden,Carl-Johan Lejland,2,9,6,3,1,1,3
Sweden,Tommy Wahlström,2,10,5,4,1,1,2
Switzerland,Ramon Egger,6,1,5,8,1,1,3
Switzerland,Andreas Faust,9,2,6,1,1,1,5
Switzerland,Peter Ruch,5,1,5,5,1,2,6
Turkey,Ufuk Sandik,6,4,8,1,2,3,1
United Kingdom,Andrew English,7,10,2,0,0,2,4
United Kingdom,Andrew Frankel,7,4,2,5,2,3,2
United Kingdom,Paul Horrell,5,6,5,4,0,1,4
United Kingdom,Phil McNamara,9,6,3,3,1,2,1
United Kingdom,Vicky Parrott,10,7,2,4,0,1,1
United Kingdom,Mark Tisshaw,10,6,1,5,0,2,1
