Country,Jury,Renault Scenic,BMW 5-Series,Peugeot 3008,Kia EV9,Volvo EX30,BYD Seal,Toyota C-HR
Austria,Horst Bauer,6,10,1,2,0,1,5
Austria,Susanna Hofbauer,8,10,1,1,2,1,2
Austria,Dieter Hubmann,4,8,3,4,1,2,3
Belgium,Joost Bolle,10,0,5,3,3,4,0
Belgium,Stéphane Lemeret,7,1,4,3,3,2,5
Czech Republic,Jiri Duchon,4,7,4,3,3,2,2
Denmark,Søren W. Rasmussen,6,9,5,1,2,1,1
Finland,Velimatti Honkanen,5,7,3,4,2,1,3
France,Christophe Bourroux,9,2,8,1,1,2,2
France,Florence Lagarde,5,10,4,3,0,0,3
France,Guy L'Hospital,7,4,5,3,3,1,2
France,Yves Maroselli,6,5,5,2,3,1,3
France,Stèphane Meunier,7,3,6,2,3,2,2
France,Sylvain Reisser,7,6,5,3,1,1,2
Germany,Holger Appel,4,10,0,3,5,0,3
Germany,Alexander Bloch,6,9,2,3,4,0,1
Germany,Hanno Boblenz,5,10,5,1,4,0,0
Germany,Stefan Cerchez,3,9,3,3,4,1,2
Germany,Frank Mertens,4,8,3,1,5,2,2
Greece,Helen Xenakis,3,3,5,2,7,1,4
Hungary,Zsolt Csikós,6,5,1,3,4,5,1
Hungary,Miklos Gajdan,7,2,2,3,4,5,2
Ireland,Michael McAleer,4,6,2,1,3,8,1
Italy,Silvia Baruffaldi,4,3,5,3,4,4,2
Italy,Andrea Brambilla,4,2,5,4,4,3,3
Italy,Mario Cianflone,4,4,5,3,4,4,1
Italy,Gian-Luca Pellegrini,5,3,2,6,2,3,4
Italy,Alberto Sabbatini,7,3,5,2,3,3,2
Italy,Giorgio Ursicino,5,3,4,4,3,3,3
Luxembourg,Alain Rousseau,7,2,5,4,1,5,1
Netherlands,Jaco Bijlsma,8,4,3,1,5,4,0
Netherlands,Frank Buma,8,1,3,4,6,2,1
Netherlands,Peter Hilhorst,10,4,3,2,2,4,0
Norway,Fred Magne Skillebaek,6,4,6,1,8,0,0
Poland,Roman Popkiewicz,5,5,2,8,2,0,3
Poland,Maciek Ziemek,4,5,3,7,1,1,4
Portugal,Francisco Mota, 4,3,4,2,2,4,6
Portugal,Jaoquim Oliveira,4,6,5,2,0,5,3
Slovenia,Sebastjan Plevnjak,3,6,3,2,9,0,2
Spain,Félix Cerezo,6,4,4,1,3,3,4
Spain,Rafael Guitart,6,5,4,3,1,3,3
Spain,Pedro Martin, 5,7,6,2,1,1,3
Spain,Juan Ignacio Eguiara,7,6,5,2,2,1,2
Spain,Xavier Pérez,8,5,5,3,1,1,2
Spain,Pere Prat,7,5,5,5,1,1,1
Sweden,Jan-Erik Berggren,2,10,1,6,4,2,0
Sweden,Carl-Johan Lejland,1,9,2,8,3,1,1
Sweden,Tommy Wahlström,4,7,1,10,3,0,0
Switzerland,Ramon Egger,5,8,2,3,2,2,3
Switzerland,Andreas Faust,5,7,1,4,1,4,3
Switzerland,Simon Tottoli,5,3,3,3,1,4,6
Turkey,Ufuk Sandik,9,1,5,1,1,7,1
United Kingdom,Andrew English,8,4,0,1,3,4,5
United Kingdom,Andrew Frankel,5,4,3,6,2,3,2
United Kingdom,Paul Horrell,8,9,2,2,3,0,1
United Kingdom,Phil McNamara,7,3,1,8,4,2,0
United Kingdom,Vicky Parrott,5,4,0,6,8,2,0
United Kingdom,Mark Tisshaw,5,5,2,6,1,2,4
