Country,Jury,Renault 5/Alpine A290,Kia EV3,Citroen C3/e-C3,Hyundai Inster,Dacia Duster,Cupra Terramar,Alfa Romeo Junior
Austria,Michael Andrusio,4,3,6,4,2,3,3
Austria,Susanne Hofbauer,7,2,5,1,3,3,4
Austria,Dieter Hubmann,6,4,3,3,1,7,1
Belgium,Joost Bolle,9,3,7,2,2,2,0
Belgium,Stéphane Lemeret,8,6,2,3,1,4,1
Czech Republic,Jiri Duchon,4,3,3,3,1,6,5
Denmark,Søren W. Rasmussen,6,10,3,3,0,0,3
Finland,Velimatti Honkanen,4,5,4,7,3,1,1
France,Christophe Bourroux,8,4,4,3,4,1,1
France,Florence Lagarde,8,5,5,5,2,0,0
France,Guy L'Hospital,7,4,4,3,5,1,1
France,Yves Maroselli,6,3,5,3,4,2,2
France,Stèphane Meunier,5,6,4,4,4,1,1
France,Sylvain Reisser,7,5,3,2,5,1,2
Germany,Holger Appel,7,4,2,0,0,10,2
Germany,Alexander Bloch,4,5,3,6,2,4,1
Germany,Hanno Boblenz,3,4,6,5,4,1,2
Germany,Stefan Cerchez,3,2,5,2,7,4,2
Germany,Frank Mertens,3,8,4,5,2,2,1
Germany,Dennis Petermann,3,4,6,4,2,4,2
Greece,Helen Xenakis,7,5,2,2,1,3,5
Hungary,Zsolt Csikós,6,7,1,5,1,0,5
Hungary,Miklos Gajdan,7,5,4,3,2,2,2
Ireland,Michael McAleer,7,1,1,8,4,1,3
Italy,Slivia Baruffaldi,4,4,3,3,3,3,5
Italy,Andrea Brambilla,4,4,2,3,3,4,5
Italy,Mario Cianflone,6,5,2,2,3,4,3
Italy,Gian-Luca Pellegrini,6,5,1,3,3,2,5
Italy,Giannatonio Pettinelli,6,5,3,3,2,3,3
Italy,Giorgio Ursicino,5,6,5,4,1,2,2
Luxembourg,Alain Rousseau,9,7,4,1,2,1,1
Netherlands,Jaco Bijlsma,10,5,2,2,3,0,3
Netherlands,Frank Buma,6,2,5,7,3,1,1
Netherlands,Peter Hilhorst,10,4,1,3,3,1,3
Norway,Fred Magne Skillebaek,8,7,2,5,0,0,3
Poland,Roman Popkiewicz,9,7,3,3,1,1,1
Poland,Maciek Ziemek,4,7,6,2,1,1,4
Portugal,Francisco Mota,4,3,4,0,6,4,4
Portugal,Joaquim Oliveira,5,5,6,0,3,3,3
Romania,Florin Micu,4,2,5,2,6,3,3
Slovenia,Sebastjan Plevnjak,3,5,3,1,0,10,3
Spain,Félix Cerezo,4,4,4,1,6,4,2
Spain,Rafael Guitart,5,6,3,0,3,4,4
Spain,Pedro Martin,3,4,4,0,5,6,3
Spain,Juan Ignacio Eguiara,4,4,6,0,4,5,2
Spain,Xavier Pérez,4,3,4,1,1,8,4
Spain,Pere Prat,4,4,4,2,2,5,4
Sweden,Jan-Erik Berggren,7,10,1,3,0,0,4
Sweden,Carl-Johan Lajland,7,9,3,5,1,0,0
Sweden,Tommy Wahlström,4,10,1,8,0,2,0
Switzerland,Ramon Egger,4,4,3,3,2,7,2
Switzerland,Andreas Faust,9,4,6,1,1,2,2
Switzerland,Simon Tottoli,6,4,3,4,2,4,2
Turkey,Ufuk Sandik,4,8,1,2,1,6,3
United Kingdom,Andrew English,7,2,3,3,9,0,1
United Kingdom,Andrew Frankel,7,6,4,3,4,1,0
United Kingdom,Rob Gill,8,4,2,0,7,4,0
United Kingdom,Paul Horrell,8,4,4,3,5,0,1
United Kingdom,Vicky Parrott,7,6,6,2,4,0,0
United Kingdom,Mark Tisshaw,9,4,4,1,6,1,0
