Country,Jury,Mercedes-Benz CLA,Skoda Elroq,Kia EV4,Citroen C5 Aircross,Fiat Grande Panda,Dacia Bigster,Renault 4
Austria,Michael Andrusio,5,7,4,2,3,1,3
Austria,Wolfgang Hofbauer,5,3,5,1,6,2,3
Austria,Dieter Hubmann,4,7,4,1,4,2,3
Belgium,Joost Bolle,6,0,0,7,2,6,4
Belgium,Stéphane Lemeret,5,3,3,4,2,4,4
Czech Republic,Jiri Duchon,6,5,1,3,4,4,2
Denmark,Søren W. Rasmussen,8,4,4,3,3,1,2
Finland,Velimatti Honkanen,7,5,2,1,4,3,3
France,Christophe Bourroux,4,1,2,7,4,5,2
France,Florence Lagarde,4,8,4,4,0,0,5
France,Guy L'Hospital,3,5,4,6,2,3,2
France,Yves Maroselli,2,4,2,7,2,4,4
France,Stèphane Meunier,3,5,4,7,1,2,3
France,Sylvain Reisser,3,3,3,7,1,3,5
Germany,Holger Appel,10,6,1,3,3,0,2
Germany,Alexander Bloch,9,7,3,1,1,4,0
Germany,Hanno Boblenz,10,5,3,2,1,3,1
Germany,Stefan Cerchez,8,5,4,2,1,2,3
Germany,Frank Mertens,7,6,4,2,2,1,3
Germany,Dennis Petermann,9,10,2,1,1,1,1
Greece,Helen Xenakis,7,3,4,2,5,2,2
Hungary,Zsolt Csikós,6,2,2,2,4,5,4
Hungary,Miklos Gajdan,8,4,3,1,4,3,2
Ireland,Michael McAleer,4,1,8,2,6,3,1
Italy,Silvia Baruffaldi,2,1,5,6,5,2,4
Italy,Andrea Brambilla,4,1,6,3,7,1,3
Italy,Mario Cianflone,4,2,5,3,6,2,3
Italy,Gian-Luca Pellegrini,4,1,3,1,7,6,3
Italy,Giannantonio Pettinelli,4,1,5,4,6,2,3
Italy,Giorgio Ursicino,5,3,5,2,6,2,2
Luxembourg,Laurent Zilli,6,1,1,8,5,3,1
Netherlands,Jaco Bijlsma,8,4,3,2,1,3,4
Netherlands,Frank Buma,5,2,1,7,1,8,1
Netherlands,Peter Hilhorst,7,3,3,2,1,5,4
Norway,Fred Magne Skillebaek,7,8,4,3,1,0,2
Poland,Roman Popkiewicz,6,4,5,1,4,1,4
Poland,Maciel Ziemek,5,3,6,2,4,4,1
Portugal,Francisco Mota,5,1,2,4,6,3,4
Portugal,Joaquim Oliveira,9,4,3,4,3,2,0
Romania,Florin Micu,2,3,4,3,4,5,4
Slovenia,Sebastjan Plevnjak,3,2,5,2,8,1,4
Spain,Félix Cerezo,4,3,2,6,4,5,1
Spain,Rafael Guitart,1,2,5,7,4,4,2
Spain,Pedro Martin,3,2,3,6,4,5,2
Spain,Juan Ignacio Eguiara,3,3,5,6,2,5,1
Spain,Xavier Pérez,1,2,5,6,4,5,2
Spain,Pere Prat,1,5,5,7,1,5,1
Sweden,Jan-Erik Berggren,10,5,6,0,1,0,3
Sweden,Carl-Johan Lejland,9,2,4,3,2,3,2
Sweden,Tommy Wahlström,10,6,4,2,0,3,0
Switzerland,Ramon Egger,3,7,2,8,1,1,3
Switzerland,Simon Tottoli,4,6,3,5,2,2,3
Turkey,Ufuk Sandik,1,1,4,4,6,8,1
United Kingdom,Andrew English,7,1,2,4,9,2,0
United Kingdom,Andrew Frankel,6,3,4,1,5,2,4
United Kingdom,Rob Gill,7,2,5,3,2,2,4
United Kingdom,Paul Horrell,9,0,4,3,3,2,4
United Kingdom,Vicky Parrott,7,8,1,1,5,0,3
United Kingdom,Mark Tisshaw,5,9,2,0,4,2,3
